Label,Artist,Id,Track,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Genre
Don't Dream It's Over,Crowded House,0,Don't Dream It's Over Crowded House,0.439,0.422,-17.227,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,236933,australian rock
5 Years Time,Noah And The Whale,1,5 Years Time Noah And The Whale,0.803,0.548,-7.103,0.12,0.351,0.0,0.0953,0.75,121.942,214920,indie pop
Alive,Pearl Jam,2,Alive Pearl Jam,0.284,0.875,-6.069,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907,grunge
Black,Pearl Jam,3,Black Pearl Jam,0.36,0.684,-6.457,0.0308,0.323,0.0,0.34,0.2,77.15,342653,grunge
Born to Run,Bruce Springsteen,4,Born to Run Bruce Springsteen,0.27,0.944,-4.199,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,classic rock
Even Flow,Pearl Jam,5,Even Flow Pearl Jam,0.394,0.944,-6.506,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,292581,grunge
Free Fallin',Tom Petty,6,Free Fallin' Tom Petty,0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,256000,album rock
Hurt,Johnny Cash,7,Hurt Johnny Cash,0.534,0.392,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,arkansas country
Around The World,Daft Punk,8,Around The World Daft Punk,0.956,0.795,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429533,electro
Digital Love,Daft Punk,9,Digital Love Daft Punk,0.644,0.664,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,301373,electro
Harder Better Faster Stronger,Daft Punk,10,Harder Better Faster Stronger Daft Punk,0.817,0.716,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,224693,electro
One More Time,Daft Punk,11,One More Time Daft Punk,0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,320357,electro
Porcelain,Moby,12,Porcelain Moby,0.297,0.637,-7.926,0.0336,0.0014,0.18,0.247,0.332,94.73,241173,downtempo
Sleepyhead,Passion Pit,13,Sleepyhead Passion Pit,0.568,0.719,-5.406,0.0354,0.0892,1.84e-06,0.233,0.539,106.036,174760,alternative dance
Are You Gonna Go My Way,Lenny Kravitz,14,Are You Gonna Go My Way Lenny Kravitz,0.619,0.67,-10.322,0.0353,0.00165,0.0109,0.331,0.777,129.269,211933,permanent wave
Bangarang (feat. Sirah),Skrillex,15,Bangarang (feat. Sirah) Skrillex,0.716,0.972,-2.302,0.196,0.0145,3.22e-05,0.317,0.576,110.026,215253,brostep
Beat It - Single Version,Michael Jackson,16,Beat It - Single Version Michael Jackson,0.672,0.633,-11.092,0.0442,0.000492,0.324,0.176,0.855,138.936,260987,karaoke
Billie Jean - Single Version,Michael Jackson,17,Billie Jean - Single Version Michael Jackson,0.866,0.386,-8.925,0.0752,0.00331,0.108,0.0504,0.964,115.917,286585,karaoke
Drive,Incubus,18,Drive Incubus,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,alternative metal
Electric Feel,MGMT,19,Electric Feel MGMT,0.763,0.803,-3.713,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,alternative dance
